dataset,rank,feature,mean_abs_shap
NSL-KDD,1,src_bytes,3.0015798
NSL-KDD,2,dst_host_srv_count,1.061385
NSL-KDD,3,count,1.0093164
NSL-KDD,4,dst_bytes,1.0079874
NSL-KDD,5,dst_host_rerror_rate,0.61841774
NSL-KDD,6,dst_host_same_src_port_rate,0.61417973
NSL-KDD,7,service_private,0.58476174
NSL-KDD,8,dst_host_same_srv_rate,0.5273779
NSL-KDD,9,dst_host_diff_srv_rate,0.42475036
NSL-KDD,10,dst_host_count,0.3916156
RT-IoT2022,1,fwd_pkts_payload.min,0.6502617
RT-IoT2022,2,id.resp_p,0.5495955
RT-IoT2022,3,fwd_last_window_size,0.35284445
RT-IoT2022,4,flow_iat.min,0.30733296
RT-IoT2022,5,id.orig_p,0.25675952
RT-IoT2022,6,flow_pkts_payload.avg,0.22610758
RT-IoT2022,7,fwd_URG_flag_count,0.18408978
RT-IoT2022,8,fwd_header_size_min,0.17700066
RT-IoT2022,9,bwd_pkts_per_sec,0.17255338
RT-IoT2022,10,service_mqtt,0.16776231
