dataset,rank,feature,selection_count,selection_frequency
NSL-KDD,1,src_bytes,30,1.0
NSL-KDD,2,dst_host_same_src_port_rate,29,0.9666666666666667
NSL-KDD,3,dst_host_rerror_rate,29,0.9666666666666667
NSL-KDD,4,service_ecr_i,27,0.9
NSL-KDD,5,hot,26,0.8666666666666667
NSL-KDD,6,duration,23,0.7666666666666667
NSL-KDD,7,dst_host_serror_rate,23,0.7666666666666667
NSL-KDD,8,dst_host_srv_serror_rate,23,0.7666666666666667
NSL-KDD,9,num_compromised,21,0.7
NSL-KDD,10,dst_host_diff_srv_rate,21,0.7
RT-IoT2022,1,flow_FIN_flag_count,30,1.0
RT-IoT2022,2,fwd_pkts_payload.min,30,1.0
RT-IoT2022,3,flow_iat.min,30,1.0
RT-IoT2022,4,fwd_last_window_size,30,1.0
RT-IoT2022,5,fwd_header_size_min,29,0.9666666666666667
RT-IoT2022,6,fwd_pkts_payload.avg,29,0.9666666666666667
RT-IoT2022,7,fwd_URG_flag_count,25,0.8333333333333334
RT-IoT2022,8,flow_pkts_payload.avg,25,0.8333333333333334
RT-IoT2022,9,id.orig_p,24,0.8
RT-IoT2022,10,bwd_pkts_payload.avg,24,0.8
