dataset,method,removed_features,test_macro_f1,f1_drop
NSL-KDD,SHAP,0,0.7228726187387609,0.0
NSL-KDD,SHAP,5,0.7168028696753921,0.006069749063368768
NSL-KDD,SHAP,10,0.47236188921443,0.25051072952433084
NSL-KDD,SHAP,20,0.3320225110379209,0.39085010770083994
NSL-KDD,SHAP,30,0.3885100414458694,0.3343625772928914
NSL-KDD,SHAP,40,0.26929334344880973,0.4535792752899511
NSL-KDD,SHAP,50,0.25645848195948723,0.4664141367792736
NSL-KDD,LIME,0,0.7228726187387609,0.0
NSL-KDD,LIME,5,0.6915988946216673,0.031273724117093504
NSL-KDD,LIME,10,0.7396595831744703,-0.016786964435709484
NSL-KDD,LIME,20,0.653788477648323,0.06908414109043781
NSL-KDD,LIME,30,0.7129950844258717,0.00987753431288918
NSL-KDD,LIME,40,0.6632788482621554,0.05959377047660541
NSL-KDD,LIME,50,0.6490834146388913,0.07378920409986955
NSL-KDD,GWO,0,0.7228726187387609,0.0
NSL-KDD,GWO,5,0.6438232533318531,0.07904936540690777
NSL-KDD,GWO,10,0.6262742117798383,0.09659840695892252
NSL-KDD,GWO,20,0.5786287583020907,0.14424386043667015
NSL-KDD,GWO,30,0.5804565620894294,0.14241605664933144
NSL-KDD,GWO,40,0.5779070738117109,0.14496554492704994
NSL-KDD,GWO,50,0.5782894326742688,0.14458318606449205
RT-IoT2022,SHAP,0,0.9806186572560694,0.0
RT-IoT2022,SHAP,5,0.7484925026467814,0.2321261546092881
RT-IoT2022,SHAP,10,0.45794926307753875,0.5226693941785308
RT-IoT2022,SHAP,20,0.23532752911130247,0.745291128144767
RT-IoT2022,SHAP,30,0.18140736358183704,0.7992112936742324
RT-IoT2022,SHAP,40,0.11417809913312955,0.8664405581229399
RT-IoT2022,SHAP,50,0.09084433092723591,0.8897743263288336
RT-IoT2022,LIME,0,0.9806186572560694,0.0
RT-IoT2022,LIME,5,0.907711460787917,0.07290719646815247
RT-IoT2022,LIME,10,0.8689270130837797,0.11169164417228972
RT-IoT2022,LIME,20,0.6521396936520084,0.32847896360406104
RT-IoT2022,LIME,30,0.6520117445962504,0.328606912659819
RT-IoT2022,LIME,40,0.29719819071836484,0.6834204665377046
RT-IoT2022,LIME,50,0.2634102582290893,0.7172083990269802
RT-IoT2022,GWO,0,0.9806186572560694,0.0
RT-IoT2022,GWO,5,0.6753117666361743,0.30530689061989513
RT-IoT2022,GWO,10,0.46946123315728583,0.5111574240987836
RT-IoT2022,GWO,20,0.23147015411935878,0.7491485031367107
RT-IoT2022,GWO,30,0.08116130881626883,0.8994573484398006
RT-IoT2022,GWO,40,0.06601768723310904,0.9146009700229604
RT-IoT2022,GWO,50,0.051500088627036866,0.9291185686290326
