dataset,method,k,macro_f1,baseline_macro_f1,threshold_90_percent
NSL-KDD,SHAP,0,0.25645848195948723,0.7228726187387609,0.6505853568648848
NSL-KDD,SHAP,1,0.2560564111437965,0.7228726187387609,0.6505853568648848
NSL-KDD,SHAP,2,0.2564263322884012,0.7228726187387609,0.6505853568648848
NSL-KDD,SHAP,3,0.5643265100719184,0.7228726187387609,0.6505853568648848
NSL-KDD,SHAP,4,0.5649828419813838,0.7228726187387609,0.6505853568648848
NSL-KDD,SHAP,5,0.5922745159760834,0.7228726187387609,0.6505853568648848
NSL-KDD,SHAP,6,0.6209952558588918,0.7228726187387609,0.6505853568648848
NSL-KDD,SHAP,7,0.6212394677567881,0.7228726187387609,0.6505853568648848
NSL-KDD,SHAP,8,0.5981578144191686,0.7228726187387609,0.6505853568648848
NSL-KDD,SHAP,9,0.6056034575077518,0.7228726187387609,0.6505853568648848
NSL-KDD,SHAP,10,0.6288175730425247,0.7228726187387609,0.6505853568648848
NSL-KDD,SHAP,11,0.6370888247113073,0.7228726187387609,0.6505853568648848
NSL-KDD,SHAP,12,0.6479765791805276,0.7228726187387609,0.6505853568648848
NSL-KDD,SHAP,13,0.6813786799652979,0.7228726187387609,0.6505853568648848
NSL-KDD,LIME,0,0.25645848195948723,0.7228726187387609,0.6505853568648848
NSL-KDD,LIME,1,0.2560564111437965,0.7228726187387609,0.6505853568648848
NSL-KDD,LIME,2,0.42391415876885297,0.7228726187387609,0.6505853568648848
NSL-KDD,LIME,3,0.42391415876885297,0.7228726187387609,0.6505853568648848
NSL-KDD,LIME,4,0.4895443538446902,0.7228726187387609,0.6505853568648848
NSL-KDD,LIME,5,0.4895443538446902,0.7228726187387609,0.6505853568648848
NSL-KDD,LIME,6,0.49094402666766296,0.7228726187387609,0.6505853568648848
NSL-KDD,LIME,7,0.5022531894482493,0.7228726187387609,0.6505853568648848
NSL-KDD,LIME,8,0.5022531894482493,0.7228726187387609,0.6505853568648848
NSL-KDD,LIME,9,0.5022531894482493,0.7228726187387609,0.6505853568648848
NSL-KDD,LIME,10,0.5022531894482493,0.7228726187387609,0.6505853568648848
NSL-KDD,LIME,11,0.5022531894482493,0.7228726187387609,0.6505853568648848
NSL-KDD,LIME,12,0.5022531894482493,0.7228726187387609,0.6505853568648848
NSL-KDD,LIME,13,0.5022531894482493,0.7228726187387609,0.6505853568648848
NSL-KDD,LIME,14,0.5022531894482493,0.7228726187387609,0.6505853568648848
NSL-KDD,LIME,15,0.5022531894482493,0.7228726187387609,0.6505853568648848
NSL-KDD,LIME,16,0.5022531894482493,0.7228726187387609,0.6505853568648848
NSL-KDD,LIME,17,0.5751716467892256,0.7228726187387609,0.6505853568648848
NSL-KDD,LIME,18,0.5751716467892256,0.7228726187387609,0.6505853568648848
NSL-KDD,LIME,19,0.5751716467892256,0.7228726187387609,0.6505853568648848
NSL-KDD,LIME,20,0.5759880453307702,0.7228726187387609,0.6505853568648848
NSL-KDD,LIME,21,0.5759880453307702,0.7228726187387609,0.6505853568648848
NSL-KDD,LIME,22,0.5759880453307702,0.7228726187387609,0.6505853568648848
NSL-KDD,LIME,23,0.655981744569462,0.7228726187387609,0.6505853568648848
NSL-KDD,GWO,0,0.25645848195948723,0.7228726187387609,0.6505853568648848
NSL-KDD,GWO,1,0.2560564111437965,0.7228726187387609,0.6505853568648848
NSL-KDD,GWO,2,0.33590643403847087,0.7228726187387609,0.6505853568648848
NSL-KDD,GWO,3,0.6512735513931885,0.7228726187387609,0.6505853568648848
RT-IoT2022,SHAP,0,0.00034447821681864236,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,1,0.13664738978807436,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,2,0.18589423325431828,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,3,0.2531941134873246,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,4,0.22183350304311936,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,5,0.2347735776168993,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,6,0.2865813080552993,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,7,0.3563464392168562,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,8,0.36006505438389297,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,9,0.37212116737261636,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,10,0.46413239050241545,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,11,0.4597756692378259,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,12,0.46112893647831427,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,13,0.48760890287333175,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,14,0.4886186318278216,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,15,0.4996031332198858,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,16,0.49799404797932184,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,17,0.6504481949928774,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,18,0.7315371087618683,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,19,0.7394830058519922,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,20,0.7478171788041655,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,21,0.7455333038015186,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,22,0.7459626422111741,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,23,0.7407106814020317,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,24,0.7514302061003121,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,25,0.755729073476379,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,26,0.754479595320159,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,27,0.7692082505813121,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,28,0.7939217342337989,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,29,0.8622622273984684,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,30,0.8723213716752078,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,31,0.8720532777089595,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,32,0.8673763641897335,0.9806186572560694,0.8825567915304625
RT-IoT2022,SHAP,33,0.9313703352135372,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,0,0.00034447821681864236,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,1,0.00034447821681864236,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,2,0.006792165862968988,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,3,0.0899204442071342,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,4,0.2056343670973223,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,5,0.2988252985722297,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,6,0.38915409116475347,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,7,0.39225458910443484,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,8,0.39210014871264226,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,9,0.3947027615412649,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,10,0.39295905394539504,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,11,0.3933506212846501,0.9806186572560694,0.8825567915304625
