dataset,bootstrap,method,top_k,jaccard_similarity
NSL-KDD,1,SHAP,10,1.0
NSL-KDD,1,LIME,10,1.0
NSL-KDD,1,GWO,10,0.05263157894736842
NSL-KDD,2,SHAP,10,1.0
NSL-KDD,2,LIME,10,1.0
NSL-KDD,2,GWO,10,0.05263157894736842
NSL-KDD,3,SHAP,10,1.0
NSL-KDD,3,LIME,10,1.0
NSL-KDD,3,GWO,10,0.05263157894736842
RT-IoT2022,1,SHAP,10,1.0
RT-IoT2022,1,LIME,10,1.0
RT-IoT2022,1,GWO,10,0.1111111111111111
RT-IoT2022,2,SHAP,10,1.0
RT-IoT2022,2,LIME,10,1.0
RT-IoT2022,2,GWO,10,0.0
RT-IoT2022,3,SHAP,10,1.0
RT-IoT2022,3,LIME,10,1.0
RT-IoT2022,3,GWO,10,0.05263157894736842
