rank,feature,selection_count,selection_frequency
1,src_bytes,30,1.0
2,dst_host_same_src_port_rate,29,0.9666666666666667
3,dst_host_rerror_rate,29,0.9666666666666667
4,service_ecr_i,27,0.9
5,hot,26,0.8666666666666667
6,duration,23,0.7666666666666667
7,dst_host_serror_rate,23,0.7666666666666667
8,dst_host_srv_serror_rate,23,0.7666666666666667
9,num_compromised,21,0.7
10,dst_host_diff_srv_rate,21,0.7
11,flag_RSTR,21,0.7
12,num_file_creations,19,0.6333333333333333
13,diff_srv_rate,19,0.6333333333333333
14,service_telnet,19,0.6333333333333333
15,rerror_rate,18,0.6
16,dst_host_srv_diff_host_rate,18,0.6
17,service_smtp,18,0.6
18,flag_SF,18,0.6
19,protocol_type_icmp,17,0.5666666666666667
20,is_host_login,15,0.5
21,serror_rate,15,0.5
22,protocol_type_tcp,15,0.5
23,num_access_files,14,0.4666666666666667
24,service_exec,14,0.4666666666666667
25,service_http_443,14,0.4666666666666667
26,service_imap4,14,0.4666666666666667
27,service_link,14,0.4666666666666667
28,service_mtp,14,0.4666666666666667
29,service_other,14,0.4666666666666667
30,service_red_i,14,0.4666666666666667
31,srv_rerror_rate,13,0.43333333333333335
32,same_srv_rate,13,0.43333333333333335
33,protocol_type_udp,13,0.43333333333333335
34,service_Z39_50,13,0.43333333333333335
35,service_csnet_ns,13,0.43333333333333335
36,service_http_2784,13,0.43333333333333335
37,service_klogin,13,0.43333333333333335
38,service_login,13,0.43333333333333335
39,service_uucp,13,0.43333333333333335
40,service_uucp_path,13,0.43333333333333335
41,flag_S3,13,0.43333333333333335
42,wrong_fragment,12,0.4
43,urgent,12,0.4
44,num_failed_logins,12,0.4
45,service_IRC,12,0.4
46,service_daytime,12,0.4
47,service_http,12,0.4
48,service_iso_tsap,12,0.4
49,service_ldap,12,0.4
50,service_netstat,12,0.4
51,service_rje,12,0.4
52,service_shell,12,0.4
53,service_time,12,0.4
54,service_urh_i,12,0.4
55,service_courier,11,0.36666666666666664
56,service_ctf,11,0.36666666666666664
57,service_http_8001,11,0.36666666666666664
58,service_netbios_dgm,11,0.36666666666666664
59,service_netbios_ssn,11,0.36666666666666664
60,service_sql_net,11,0.36666666666666664
61,service_tftp_u,11,0.36666666666666664
62,flag_S2,11,0.36666666666666664
63,num_shells,10,0.3333333333333333
64,srv_serror_rate,10,0.3333333333333333
65,dst_host_srv_count,10,0.3333333333333333
66,service_discard,10,0.3333333333333333
67,service_echo,10,0.3333333333333333
68,service_efs,10,0.3333333333333333
69,service_nnsp,10,0.3333333333333333
70,service_ntp_u,10,0.3333333333333333
71,service_sunrpc,10,0.3333333333333333
72,service_whois,10,0.3333333333333333
73,flag_REJ,10,0.3333333333333333
74,num_root,9,0.3
75,is_guest_login,9,0.3
76,service_aol,9,0.3
77,service_auth,9,0.3
78,service_domain_u,9,0.3
79,service_eco_i,9,0.3
80,service_ftp,9,0.3
81,service_gopher,9,0.3
82,service_harvest,9,0.3
83,service_name,9,0.3
84,service_pm_dump,9,0.3
85,service_pop_2,9,0.3
86,service_printer,9,0.3
87,service_remote_job,9,0.3
88,service_ssh,9,0.3
89,service_vmnet,9,0.3
90,flag_OTH,9,0.3
91,flag_RSTOS0,9,0.3
92,flag_SH,9,0.3
93,dst_host_same_srv_rate,8,0.26666666666666666
94,service_X11,8,0.26666666666666666
95,service_finger,8,0.26666666666666666
96,service_hostnames,8,0.26666666666666666
97,service_kshell,8,0.26666666666666666
98,service_netbios_ns,8,0.26666666666666666
99,service_supdup,8,0.26666666666666666
100,service_systat,8,0.26666666666666666
101,flag_S1,8,0.26666666666666666
102,su_attempted,7,0.23333333333333334
103,service_domain,7,0.23333333333333334
104,service_pop_3,7,0.23333333333333334
105,service_tim_i,7,0.23333333333333334
106,flag_RSTO,7,0.23333333333333334
107,land,6,0.2
108,num_outbound_cmds,6,0.2
109,dst_host_srv_rerror_rate,6,0.2
110,service_nntp,6,0.2
111,flag_S0,6,0.2
112,root_shell,5,0.16666666666666666
113,service_bgp,5,0.16666666666666666
114,srv_diff_host_rate,4,0.13333333333333333
115,service_ftp_data,4,0.13333333333333333
116,service_private,4,0.13333333333333333
117,service_urp_i,4,0.13333333333333333
118,dst_bytes,3,0.1
119,srv_count,2,0.06666666666666667
120,logged_in,1,0.03333333333333333
121,dst_host_count,1,0.03333333333333333
122,count,0,0.0
