rank,feature,mean_abs_lime
1,src_bytes,0.2805516968464692
2,service_private,0.23945109313833887
3,service_ecr_i,0.18577699589374538
4,protocol_type_icmp,0.18014759603650826
5,hot,0.15519251801617392
6,dst_bytes,0.1337602422435808
7,dst_host_same_srv_rate,0.10241247053455578
8,flag_RSTOS0,0.09258554331167827
9,service_shell,0.0922093435102525
10,service_pop_2,0.09159993011748285
11,service_X11,0.09002638998317483
12,service_remote_job,0.08928452718477602
13,service_rje,0.08802860792758399
14,su_attempted,0.0877925430389299
15,service_domain_u,0.08759457314265226
16,flag_S3,0.08707794324840322
17,dst_host_rerror_rate,0.08649322892022869
18,num_failed_logins,0.08579474633578496
19,service_printer,0.08571128926329406
20,num_file_creations,0.08464412834001582
21,flag_S2,0.08367315208909144
22,service_ntp_u,0.08317189655279353
23,count,0.08245944706419724
24,service_imap4,0.07992873196569149
25,num_shells,0.07875310192966097
26,flag_OTH,0.07838595767150484
27,dst_host_srv_count,0.07464551542357793
28,root_shell,0.07456800904987787
29,service_sql_net,0.07347980047144392
30,service_IRC,0.07127004713507407
31,duration,0.07063365780183341
32,dst_host_srv_serror_rate,0.06644436145622762
33,flag_SH,0.06531355153723468
34,land,0.06396741451518827
35,flag_S1,0.06369034000369171
36,dst_host_serror_rate,0.06327401158861698
37,service_pop_3,0.06206628589457902
38,service_kshell,0.060154728705310065
39,service_nntp,0.06000378211020646
40,service_netbios_ns,0.0594119369160714
41,service_ssh,0.059303882737586244
42,service_sunrpc,0.05743237137491305
43,dst_host_same_src_port_rate,0.057312240237618446
44,service_netstat,0.056820983545524346
45,num_access_files,0.05566570104927436
46,service_netbios_ssn,0.05480412297545468
47,service_ldap,0.05307567865675898
48,service_systat,0.05223309084864578
49,service_klogin,0.05218039652782473
50,service_mtp,0.05211868519778365
51,service_echo,0.0513076508362497
52,service_exec,0.05109051669214091
53,service_efs,0.05010035840079608
54,service_hostnames,0.04957530740467196
55,service_gopher,0.04930726856172154
56,service_login,0.049194004050003376
57,service_daytime,0.04854375220099565
58,service_link,0.04852765521389813
59,service_urh_i,0.04759340048632242
60,service_ctf,0.04724238964440184
61,service_netbios_dgm,0.047210091877115286
62,dst_host_srv_rerror_rate,0.04696207044494499
63,service_discard,0.046759936313518484
64,service_http_443,0.04635961235281813
65,service_urp_i,0.04606800337026821
66,service_csnet_ns,0.04585218995305541
67,service_supdup,0.04561757561098889
68,service_name,0.04557282283285036
69,service_time,0.04521236946903856
70,service_vmnet,0.04512019759833149
71,service_iso_tsap,0.04503927634933157
72,num_compromised,0.04364562529980145
73,service_bgp,0.04306720361629547
74,service_nnsp,0.04261230550335804
75,num_root,0.042186828056851915
76,service_uucp_path,0.04208579833399718
77,service_auth,0.04176292498381314
78,service_domain,0.04111486722371841
79,flag_RSTR,0.041019493992225375
80,service_courier,0.040472382693390055
81,service_Z39_50,0.03915094639601798
82,service_whois,0.03807997277990471
83,service_uucp,0.03762879255012956
84,dst_host_count,0.03739613321101637
85,is_guest_login,0.03482238096266008
86,wrong_fragment,0.034491223910973
87,flag_RSTO,0.031884966073038326
88,rerror_rate,0.03142328373733571
89,srv_count,0.03139885276767849
90,logged_in,0.03129463766432352
91,dst_host_diff_srv_rate,0.030804429821187026
92,service_telnet,0.030141942896865566
93,service_red_i,0.029744581317880544
94,service_tim_i,0.02869110509018503
95,service_finger,0.0280055479154188
96,urgent,0.02794039203398339
97,service_ftp,0.02768029755902947
98,service_pm_dump,0.02580734938680692
99,dst_host_srv_diff_host_rate,0.024528626978666
100,service_http,0.02445847688506561
101,srv_diff_host_rate,0.024099176361532363
102,service_other,0.02359168466830974
103,flag_SF,0.021632835020478382
104,service_ftp_data,0.018582191581919393
105,service_eco_i,0.01755749705451207
106,service_smtp,0.01626652497736117
107,diff_srv_rate,0.012560465088499954
108,flag_REJ,0.011563424123908332
109,same_srv_rate,0.011342618526315755
110,service_http_8001,0.010828958906087175
111,service_tftp_u,0.010136350942834415
112,srv_rerror_rate,0.00988638403759938
113,protocol_type_udp,0.009566564475783131
114,serror_rate,0.009263525995428125
115,flag_S0,0.008762942081002685
116,srv_serror_rate,0.008267898284022392
117,service_http_2784,0.006019198542649835
118,service_harvest,0.00593135377369785
119,service_aol,0.004548239321673121
120,is_host_login,0.0031451629881794935
121,num_outbound_cmds,0.0
122,protocol_type_tcp,0.0
