rank,feature,mean_abs_shap
1,src_bytes,3.0015798
2,dst_host_srv_count,1.061385
3,count,1.0093164
4,dst_bytes,1.0079874
5,dst_host_rerror_rate,0.61841774
6,dst_host_same_src_port_rate,0.61417973
7,service_private,0.58476174
8,dst_host_same_srv_rate,0.5273779
9,dst_host_diff_srv_rate,0.42475036
10,dst_host_count,0.3916156
11,protocol_type_icmp,0.36897573
12,hot,0.3630772
13,service_ecr_i,0.26759765
14,duration,0.24858536
15,dst_host_serror_rate,0.24474694
16,service_http,0.23768105
17,diff_srv_rate,0.21148328
18,dst_host_srv_serror_rate,0.2003424
19,srv_count,0.19295065
20,dst_host_srv_rerror_rate,0.16686821
21,logged_in,0.16087084
22,dst_host_srv_diff_host_rate,0.1445825
23,same_srv_rate,0.13581148
24,flag_SF,0.103907585
25,rerror_rate,0.09876545
26,srv_diff_host_rate,0.098217465
27,protocol_type_tcp,0.088769585
28,service_domain_u,0.07714106
29,service_telnet,0.07216845
30,serror_rate,0.06525906
31,service_ftp_data,0.056392647
32,num_compromised,0.054803815
33,flag_RSTR,0.050128896
34,num_file_creations,0.037993085
35,flag_RSTO,0.033054523
36,flag_S0,0.025343282
37,flag_REJ,0.025118336
38,service_finger,0.02404556
39,service_imap4,0.022333248
40,srv_serror_rate,0.021292502
41,is_guest_login,0.020856291
42,service_smtp,0.020316595
43,service_eco_i,0.019369224
44,num_access_files,0.015517966
45,service_auth,0.0144166695
46,protocol_type_udp,0.013904012
47,service_pop_3,0.012956832
48,service_other,0.011227722
49,flag_S1,0.010795968
50,root_shell,0.009611701
51,service_X11,0.008798275
52,srv_rerror_rate,0.008038711
53,num_root,0.005425944
54,num_failed_logins,0.0042757224
55,wrong_fragment,0.004028278
56,su_attempted,0.0037427759
57,service_ftp,0.002608922
58,service_pm_dump,0.0019104747
59,service_IRC,0.0018573091
60,land,0.0015034471
61,flag_RSTOS0,0.0013615706
62,num_shells,0.0012671753
63,flag_SH,0.0012156055
64,service_time,0.0011034085
65,service_urp_i,0.0009834492
66,service_tim_i,0.00032018923
67,flag_S2,2.6512867e-05
68,service_harvest,0.0
69,service_uucp,0.0
70,service_daytime,0.0
71,service_sql_net,0.0
72,service_ssh,0.0
73,service_sunrpc,0.0
74,service_supdup,0.0
75,service_systat,0.0
76,service_ctf,0.0
77,service_tftp_u,0.0
78,service_urh_i,0.0
79,service_uucp_path,0.0
80,service_rje,0.0
81,service_vmnet,0.0
82,service_whois,0.0
83,flag_OTH,0.0
84,service_csnet_ns,0.0
85,service_courier,0.0
86,service_bgp,0.0
87,service_aol,0.0
88,service_Z39_50,0.0
89,num_outbound_cmds,0.0
90,flag_S3,0.0
91,is_host_login,0.0
92,service_shell,0.0
93,service_remote_job,0.0
94,service_hostnames,0.0
95,service_name,0.0
96,service_gopher,0.0
97,service_http_2784,0.0
98,service_http_443,0.0
99,service_http_8001,0.0
100,service_exec,0.0
101,service_iso_tsap,0.0
102,service_klogin,0.0
103,service_kshell,0.0
104,service_ldap,0.0
105,service_link,0.0
106,service_login,0.0
107,service_efs,0.0
108,service_netbios_dgm,0.0
109,service_red_i,0.0
110,service_netbios_ns,0.0
111,service_netbios_ssn,0.0
112,service_netstat,0.0
113,service_nnsp,0.0
114,service_nntp,0.0
115,service_ntp_u,0.0
116,service_echo,0.0
117,service_domain,0.0
118,service_pop_2,0.0
119,service_discard,0.0
120,service_printer,0.0
121,urgent,0.0
122,service_mtp,0.0
