rank,feature,selection_count,selection_frequency
1,flow_FIN_flag_count,30,1.0
2,fwd_pkts_payload.min,30,1.0
3,flow_iat.min,30,1.0
4,fwd_last_window_size,30,1.0
5,fwd_header_size_min,29,0.9666666666666667
6,fwd_pkts_payload.avg,29,0.9666666666666667
7,fwd_URG_flag_count,25,0.8333333333333334
8,flow_pkts_payload.avg,25,0.8333333333333334
9,id.orig_p,24,0.8
10,bwd_pkts_payload.avg,24,0.8
11,flow_pkts_payload.std,24,0.8
12,bwd_init_window_size,24,0.8
13,fwd_header_size_tot,23,0.7666666666666667
14,service_http,23,0.7666666666666667
15,id.resp_p,22,0.7333333333333333
16,bwd_pkts_payload.std,22,0.7333333333333333
17,fwd_iat.min,22,0.7333333333333333
18,fwd_pkts_per_sec,21,0.7
19,service_mqtt,21,0.7
20,flow_pkts_per_sec,20,0.6666666666666666
21,bwd_header_size_tot,20,0.6666666666666666
22,fwd_PSH_flag_count,20,0.6666666666666666
23,fwd_pkts_payload.tot,20,0.6666666666666666
24,flow_pkts_payload.max,20,0.6666666666666666
25,fwd_iat.std,20,0.6666666666666666
26,flow_iat.std,20,0.6666666666666666
27,bwd_pkts_tot,19,0.6333333333333333
28,fwd_iat.max,19,0.6333333333333333
29,fwd_subflow_bytes,19,0.6333333333333333
30,proto_udp,19,0.6333333333333333
31,service_-,19,0.6333333333333333
32,flow_duration,18,0.6
33,fwd_header_size_max,18,0.6
34,flow_pkts_payload.tot,18,0.6
35,active.min,18,0.6
36,fwd_init_window_size,18,0.6
37,bwd_pkts_payload.max,17,0.5666666666666667
38,down_up_ratio,16,0.5333333333333333
39,bwd_PSH_flag_count,16,0.5333333333333333
40,flow_ACK_flag_count,16,0.5333333333333333
41,fwd_iat.avg,16,0.5333333333333333
42,bwd_header_size_max,15,0.5
43,bwd_pkts_payload.min,15,0.5
44,bwd_pkts_payload.tot,15,0.5
45,flow_pkts_payload.min,15,0.5
46,service_radius,15,0.5
47,bwd_pkts_per_sec,14,0.4666666666666667
48,flow_SYN_flag_count,14,0.4666666666666667
49,flow_CWR_flag_count,14,0.4666666666666667
50,bwd_iat.tot,14,0.4666666666666667
51,flow_iat.max,14,0.4666666666666667
52,flow_iat.avg,14,0.4666666666666667
53,fwd_subflow_pkts,14,0.4666666666666667
54,bwd_subflow_pkts,14,0.4666666666666667
55,bwd_bulk_bytes,14,0.4666666666666667
56,active.max,14,0.4666666666666667
57,active.tot,14,0.4666666666666667
58,idle.max,14,0.4666666666666667
59,service_dns,14,0.4666666666666667
60,service_ntp,14,0.4666666666666667
61,service_ssl,14,0.4666666666666667
62,fwd_pkts_tot,13,0.43333333333333335
63,flow_RST_flag_count,13,0.43333333333333335
64,fwd_pkts_payload.max,13,0.43333333333333335
65,fwd_pkts_payload.std,13,0.43333333333333335
66,fwd_iat.tot,13,0.43333333333333335
67,bwd_iat.min,13,0.43333333333333335
68,flow_iat.tot,13,0.43333333333333335
69,payload_bytes_per_second,13,0.43333333333333335
70,fwd_bulk_packets,13,0.43333333333333335
71,service_irc,13,0.43333333333333335
72,bwd_data_pkts_tot,12,0.4
73,bwd_header_size_min,12,0.4
74,bwd_subflow_bytes,12,0.4
75,proto_tcp,12,0.4
76,fwd_data_pkts_tot,11,0.36666666666666664
77,fwd_bulk_bytes,11,0.36666666666666664
78,bwd_bulk_packets,11,0.36666666666666664
79,active.avg,11,0.36666666666666664
80,idle.min,11,0.36666666666666664
81,idle.tot,11,0.36666666666666664
82,flow_ECE_flag_count,10,0.3333333333333333
83,bwd_iat.avg,10,0.3333333333333333
84,bwd_iat.std,10,0.3333333333333333
85,fwd_bulk_rate,10,0.3333333333333333
86,bwd_bulk_rate,10,0.3333333333333333
87,idle.avg,10,0.3333333333333333
88,idle.std,10,0.3333333333333333
89,service_dhcp,10,0.3333333333333333
90,bwd_URG_flag_count,9,0.3
91,bwd_iat.max,9,0.3
92,active.std,9,0.3
93,service_ssh,9,0.3
94,proto_icmp,8,0.26666666666666666
