rank,feature,mean_abs_shap
1,fwd_pkts_payload.min,0.6502617
2,id.resp_p,0.5495955
3,fwd_last_window_size,0.35284445
4,flow_iat.min,0.30733296
5,id.orig_p,0.25675952
6,flow_pkts_payload.avg,0.22610758
7,fwd_URG_flag_count,0.18408978
8,fwd_header_size_min,0.17700066
9,bwd_pkts_per_sec,0.17255338
10,service_mqtt,0.16776231
11,flow_pkts_per_sec,0.14939573
12,service_-,0.13343616
13,fwd_pkts_per_sec,0.11726593
14,flow_pkts_payload.std,0.11723826
15,fwd_pkts_payload.avg,0.11438058
16,active.min,0.11198343
17,flow_FIN_flag_count,0.10792645
18,fwd_pkts_payload.tot,0.10727343
19,fwd_pkts_payload.max,0.087353796
20,fwd_header_size_tot,0.081284165
21,bwd_header_size_tot,0.07383949
22,fwd_PSH_flag_count,0.06909626
23,flow_pkts_payload.max,0.06767301
24,fwd_subflow_bytes,0.06669596
25,flow_iat.std,0.065654404
26,payload_bytes_per_second,0.06385561
27,bwd_pkts_payload.avg,0.062317457
28,fwd_iat.min,0.060976624
29,bwd_iat.min,0.059590716
30,service_dns,0.059582453
31,flow_pkts_payload.tot,0.05896797
32,flow_pkts_payload.min,0.058196243
33,fwd_header_size_max,0.055453196
34,bwd_pkts_payload.max,0.053952754
35,bwd_iat.tot,0.051232837
36,down_up_ratio,0.04535237
37,fwd_iat.max,0.042826917
38,bwd_pkts_payload.tot,0.040214606
39,proto_udp,0.040094975
40,bwd_pkts_tot,0.038554523
41,bwd_header_size_max,0.037156153
42,fwd_iat.std,0.037010036
43,fwd_iat.avg,0.03699427
44,active.avg,0.03657684
45,bwd_subflow_bytes,0.03513839
46,flow_duration,0.032820288
47,fwd_data_pkts_tot,0.03268233
48,service_ssh,0.03187056
49,flow_RST_flag_count,0.03110392
50,bwd_pkts_payload.std,0.028642872
51,bwd_init_window_size,0.02651068
52,fwd_init_window_size,0.02367159
53,bwd_pkts_payload.min,0.022722809
54,fwd_iat.tot,0.021966232
55,flow_SYN_flag_count,0.021000618
56,fwd_subflow_pkts,0.020517858
57,proto_tcp,0.020424645
58,bwd_data_pkts_tot,0.020342316
59,flow_ACK_flag_count,0.015793385
60,bwd_iat.max,0.015154641
61,fwd_pkts_tot,0.015035778
62,bwd_header_size_min,0.014889191
63,flow_iat.max,0.014098809
64,flow_iat.avg,0.013314362
65,active.tot,0.011678403
66,active.max,0.011203997
67,flow_iat.tot,0.009125258
68,bwd_subflow_pkts,0.008239275
69,bwd_iat.avg,0.006262636
70,idle.min,0.004729866
71,service_http,0.0039716633
72,idle.max,0.0037073144
73,fwd_pkts_payload.std,0.003677636
74,proto_icmp,0.0036342547
75,bwd_iat.std,0.0033310428
76,idle.tot,0.0030847942
77,idle.avg,0.0024167744
78,service_ntp,0.002063126
79,service_dhcp,0.0016612087
80,active.std,0.0014331964
81,idle.std,0.0011510624
82,service_ssl,0.0008679433
83,flow_CWR_flag_count,0.0007068264
84,bwd_PSH_flag_count,0.0006111271
85,bwd_bulk_packets,0.00022601408
86,flow_ECE_flag_count,0.00017408768
87,bwd_bulk_rate,0.00014240133
88,bwd_bulk_bytes,0.00014208451
89,fwd_bulk_rate,6.5864195e-05
90,fwd_bulk_packets,2.5409889e-05
91,fwd_bulk_bytes,1.8416554e-06
92,service_irc,0.0
93,service_radius,0.0
94,bwd_URG_flag_count,0.0
